Student_number,file_1_mark,file_2_mark,file_3_mark,Feedback
b95211hc,0,0,0,"Submission ran but did not finish its execution due to the errors below. 
 This does not mean the program did not execute however, it may or may not have produced some files or none: 
 
  Traceback (most recent call last):
   File ""***Removed due to privacy***/rugby_b95211hc/./rugby_b95211hc.py"", line 41, in <module>
     os.mkdir(outputDirectory)
 FileExistsError: [Errno 17] File exists: './results_rugby'
 
 No files were created within the results folder. (This does not mean files were not created elsewhere)"
b98919gs,1,1,1,
c00182zl,0,0,0,"No submission was found under the prog1_rugby tag for the rugby task
"
c01724bh,1,1,1,
c20818hb,0,0,0,"No submission was found under the prog1_rugby tag for the rugby task
"
c28644ab,0,0,0,"No submission was found under the prog1_rugby tag for the rugby task
"
c29038sx,1,1,1,
c29824zl,1,1,1,
c38534kt,0,0,0,"Submission ran but did not finish its execution due to the errors below. 
 This does not mean the program did not execute however, it may or may not have produced some files or none: 
 
  Traceback (most recent call last):
   File ""***Removed due to privacy***/rugby_c38534kt/./rugby_c38534kt.py"", line 5, in <module>
     with open (walk_dir, ""r"") as f:
 IsADirectoryError: [Errno 21] Is a directory: './test_files_rugby'
 
 No files were created within the results folder. (This does not mean files were not created elsewhere)"
c42786tc,0,0,0,"No submission was found under the prog1_rugby tag for the rugby task
"
c43480ct,1,1,1,
c48306ah,1,1,1,
c60952ti,1,1,1,
c62354yt,1,1,1,
c70846fu,0,0,0,"No submission was found under the prog1_rugby tag for the rugby task
"
c74752hz,1,1,1,
c81776oa,1,1,1,
c87452cd,0,0,0,"No submission was found under the prog1_rugby tag for the rugby task
"
c93472yk,1,1,1,
d00499dm,0,0,0,"Submission ran but did not finish its execution due to the errors below. 
 This does not mean the program did not execute however, it may or may not have produced some files or none: 
 
  Traceback (most recent call last):
   File ""***Removed due to privacy***/rugby_d00499dm/./rugby_d00499dm.py"", line 14, in <module>
     file = open( inputfile,'r')
 IsADirectoryError: [Errno 21] Is a directory: './test_files_rugby'
 
 No files were created within the results folder. (This does not mean files were not created elsewhere)"
d02513ms,1,1,1,
d03211aa,1,1,1,
d03963st,1,1,1,
d05847mk,0,0,0,"Submission ran but did not finish its execution due to the errors below. 
 This does not mean the program did not execute however, it may or may not have produced some files or none: 
 
  Traceback (most recent call last):
   File ""***Removed due to privacy***/rugby_d05847mk/./rugby_d05847mk.py"", line 58, in <module>
     output()
   File ""***Removed due to privacy***/rugby_d05847mk/./rugby_d05847mk.py"", line 48, in output
     os.chdir(outputpath)
 FileNotFoundError: [Errno 2] No such file or directory: './results_rugby'
 
 No files were created within the results folder. (This does not mean files were not created elsewhere)"
d07769jy,1,1,1,
d20477sn,0,0,0,"No submission was found under the prog1_rugby tag for the rugby task
"
d30839jl,0,0,0,"No submission was found under the prog1_rugby tag for the rugby task
"
d42941ph,0,0,0,"No submission was found under the prog1_rugby tag for the rugby task
"
d47007el,1,1,1,
d50341jc,1,1,1,
d52553je,1,1,1,
d62825cd,0,0,0,"Submission ran but did not finish its execution due to the errors below. 
 This does not mean the program did not execute however, it may or may not have produced some files or none: 
 
  Traceback (most recent call last):
   File ""***Removed due to privacy***/rugby_d62825cd/./rugby_d62825cd.py"", line 3, in <module>
     test = open(sys.argv[1] , ""r"")
 IsADirectoryError: [Errno 21] Is a directory: './test_files_rugby'
 
 No files were created within the results folder. (This does not mean files were not created elsewhere)"
d66835dg,1,1,1,
d71343si,0,0,0,"No submission was found under the prog1_rugby tag for the rugby task
"
d72499pd,1,1,1,
d88719ry,0,0,0,"No submission was found under the prog1_rugby tag for the rugby task
"
d95341zw,0,0,0,"Submission ran but did not finish its execution due to the errors below. 
 This does not mean the program did not execute however, it may or may not have produced some files or none: 
 
  Traceback (most recent call last):
   File ""***Removed due to privacy***/rugby_d95341zw/./rugby_d95341zw.py"", line 70, in <module>
     result = open(d, ""w"")
 FileNotFoundError: [Errno 2] No such file or directory: '_d95341zw./results_rugby/test_file1_d95341zw.txt'
 
 No files were created within the results folder. (This does not mean files were not created elsewhere)"
e00336tj,0,0,0,No files were created within the results folder. (This does not mean files were not created elsewhere)
e11226oc,1,1,1,
e17646fa,1,1,1,
e18770as,1,1,1,
e22628ak,1,1,1,
e23170zl,0,0,0,"No submission was found under the prog1_rugby tag for the rugby task
"
e31258zw,1,1,1,
e35918rs,1,1,1,
e37076ka,1,1,1,
e40494op,1,1,1,
e40896us,0,0,0,No files were created within the results folder. (This does not mean files were not created elsewhere)
e41002vg,0,0,0,"Submission ran but did not finish its execution due to the errors below. 
 This does not mean the program did not execute however, it may or may not have produced some files or none: 
 
  Traceback (most recent call last):
   File ""***Removed due to privacy***/rugby_e41002vg/./rugby_e41002vg.py"", line 14, in <module>
     f = open(in_file, ""r"")
 FileNotFoundError: [Errno 2] No such file or directory: './test_files_rugby\\test_file1.txt'
 
 No files were created within the results folder. (This does not mean files were not created elsewhere)"
e41206gs,1,1,1,
e54842zt,1,1,1,
e55646sa,0,0,0,No files were created within the results folder. (This does not mean files were not created elsewhere)
e58068tt,0,0,0,"No submission was found under the prog1_rugby tag for the rugby task
"
e58690mu,1,1,1,
e58876ch,1,1,1,
e64848xf,0,0,0,"No submission was found under the prog1_rugby tag for the rugby task
"
e71568qh,0,0,0,"No submission was found under the prog1_rugby tag for the rugby task
"
e78508hb,1,1,1,
e80626nm,0,0,0,"Output files were found however no output file was found for test_file 1 with the correct name format
 Output files were found however no output file was found for test_file 2 with the correct name format
 Output files were found however no output file was found for test_file 3 with the correct name format
"
e86238yj,0,0,0,"Submission ran but did not finish its execution due to the errors below. 
 This does not mean the program did not execute however, it may or may not have produced some files or none: 
 
  Traceback (most recent call last):
   File ""***Removed due to privacy***/rugby_e86238yj/./rugby_e86238yj.py"", line 9, in <module>
     os.mkdir(args.output_path)
 FileExistsError: [Errno 17] File exists: './results_rugby'
 
 No files were created within the results folder. (This does not mean files were not created elsewhere)"
e86816fd,0,0,0,"Submission ran but did not finish its execution due to the errors below. 
 This does not mean the program did not execute however, it may or may not have produced some files or none: 
 
  Traceback (most recent call last):
   File ""***Removed due to privacy***/rugby_e86816fd/./rugby_e86816fd.py"", line 5, in <module>
     f=open('teamGoals.txt','r')
 FileNotFoundError: [Errno 2] No such file or directory: 'teamGoals.txt'
 
 No files were created within the results folder. (This does not mean files were not created elsewhere)"
e88144wm,1,1,1,
e99236vr,0,0,0,"No submission was found under the prog1_rugby tag for the rugby task
"
f01643ka,1,1,1,
f05815rb,1,1,1,
f06903rd,1,1,1,
f11711jy,0,0,0,"Submission ran but did not finish its execution due to the errors below. 
 This does not mean the program did not execute however, it may or may not have produced some files or none: 
 
  Traceback (most recent call last):
   File ""***Removed due to privacy***/rugby_f11711jy/./rugby_f11711jy.py"", line 2, in <module>
     with open(""test_file4.txt"") as file:
 FileNotFoundError: [Errno 2] No such file or directory: 'test_file4.txt'
 
 No files were created within the results folder. (This does not mean files were not created elsewhere)"
f13855hl,0,0,0,"No submission was found under the prog1_rugby tag for the rugby task
"
f15107sn,0,0,0,"Submission ran but did not finish its execution due to the errors below. 
 This does not mean the program did not execute however, it may or may not have produced some files or none: 
 
  Traceback (most recent call last):
   File ""***Removed due to privacy***/rugby_f15107sn/./rugby_f15107sn.py"", line 39, in <module>
     txt_content = read_file(args.in_file)
   File ""***Removed due to privacy***/rugby_f15107sn/./rugby_f15107sn.py"", line 6, in read_file
     in_f = open(in_file, 'r')
 IsADirectoryError: [Errno 21] Is a directory: './test_files_rugby'
 
 No files were created within the results folder. (This does not mean files were not created elsewhere)"
f18903ls,1,1,1,
f21939kg,1,1,1,
f25035sb,0,0,0,"No submission was found under the prog1_rugby tag for the rugby task
"
f33805pg,0,0,0,"No submission was found under the prog1_rugby tag for the rugby task
"
f37609ak,1,1,1,
f38903hq,0,0,0,"Submission was found under the prog1_rugby tag for the rugby task but the file is named incorrectly
 No files were created within the results folder. (This does not mean files were not created elsewhere)"
f49277np,0,0,0,"Submission ran but did not finish its execution due to the errors below. 
 This does not mean the program did not execute however, it may or may not have produced some files or none: 
 
  Traceback (most recent call last):
   File ""***Removed due to privacy***/rugby_f49277np/./rugby_f49277np.py"", line 9, in <module>
     file = open(str(path)+x, ""r"")
 FileNotFoundError: [Errno 2] No such file or directory: './test_files_rugbytest_file1.txt'
 
 No files were created within the results folder. (This does not mean files were not created elsewhere)"
f53919qy,0,0,0,"Submission ran but did not finish its execution due to the errors below. 
 This does not mean the program did not execute however, it may or may not have produced some files or none: 
 
  Traceback (most recent call last):
   File ""***Removed due to privacy***/rugby_f53919qy/./rugby_f53919qy.py"", line 21, in <module>
     with open(input_file_path, 'r') as f:
 IsADirectoryError: [Errno 21] Is a directory: './test_files_rugby'
 
 No files were created within the results folder. (This does not mean files were not created elsewhere)"
f54617sa,0,0,0,"No submission was found under the prog1_rugby tag for the rugby task
"
f57695ks,1,1,1,
f60163yw,0,0,0,"Submission ran but did not finish its execution due to the errors below. 
 This does not mean the program did not execute however, it may or may not have produced some files or none: 
 
  Traceback (most recent call last):
   File ""***Removed due to privacy***/rugby_f60163yw/./rugby_f60163yw.py"", line 39, in <module>
     main(item, name)
   File ""***Removed due to privacy***/rugby_f60163yw/./rugby_f60163yw.py"", line 29, in main
     score1, score2 = comput_score(input)
   File ""***Removed due to privacy***/rugby_f60163yw/./rugby_f60163yw.py"", line 26, in comput_score
     return scores['1'], scores['2']
 KeyError: '1'
 
 No files were created within the results folder. (This does not mean files were not created elsewhere)"
f63279ma,1,1,1,
f66089ms,0,0,0,"Score output for test_file 1 was incorrect
 Score output for test_file 2 was incorrect
 Score output for test_file 3 was incorrect
"
f77541nz,1,1,1,
f85709jw,1,1,1,
f92301jb,1,1,1,
f93937xl,1,1,1,
f98689dr,1,1,1,
g15612dj,0,0,0,"Output files were found however no output file was found for test_file 1 with the correct name format
 Output files were found however no output file was found for test_file 2 with the correct name format
 Output files were found however no output file was found for test_file 3 with the correct name format
"
g21434rb,1,1,1,
g21898tg,0,0,0,"Output files were found however no output file was found for test_file 1 with the correct name format
 Output files were found however no output file was found for test_file 2 with the correct name format
 Output files were found however no output file was found for test_file 3 with the correct name format
"
g28708at,0,0,0,"Submission ran but did not finish its execution due to the errors below. 
 This does not mean the program did not execute however, it may or may not have produced some files or none: 
 
  Traceback (most recent call last):
   File ""***Removed due to privacy***/rugby_g28708at/./rugby_g28708at.py"", line 38, in <module>
     res = read_text_file(file_path)
   File ""***Removed due to privacy***/rugby_g28708at/./rugby_g28708at.py"", line 13, in read_text_file
     with open(file_path, 'r') as f:
 FileNotFoundError: [Errno 2] No such file or directory: './test_files_rugby/test_file1.txt'
 
 No files were created within the results folder. (This does not mean files were not created elsewhere)"
g33966si,1,1,1,
g39786dp,1,1,1,
g45512id,0,0,0,"No submission was found under the prog1_rugby tag for the rugby task
"
g58440zy,1,1,1,
g60486zz,1,1,1,
g62512ww,1,1,1,
g62520js,1,1,1,
g70580jh,0,0,0,"No submission was found under the prog1_rugby tag for the rugby task
"
g71830mc,0,0,0,"Output files were found however no output file was found for test_file 1 with the correct name format
 Output files were found however no output file was found for test_file 2 with the correct name format
 Output files were found however no output file was found for test_file 3 with the correct name format
"
g75342ms,0,0,0,"No submission was found under the prog1_rugby tag for the rugby task
"
g75462fw,1,1,1,
g77134dr,0,0,0,"Submission was found under the prog1_rugby tag for the rugby task but the file is named incorrectly
 No files were created within the results folder. (This does not mean files were not created elsewhere)"
g78196wl,0,0,0,"Submission ran but did not finish its execution due to the errors below. 
 This does not mean the program did not execute however, it may or may not have produced some files or none: 
 
  Traceback (most recent call last):
   File ""***Removed due to privacy***/rugby_g78196wl/./rugby_g78196wl.py"", line 47, in <module>
     f=open(o,'w')
 FileNotFoundError: [Errno 2] No such file or directory: '_g78196wl./results_rugby/test_file1_g78196wl.txt'
 
 No files were created within the results folder. (This does not mean files were not created elsewhere)"
g78896na,0,0,0,"Submission ran but did not finish its execution due to the errors below. 
 This does not mean the program did not execute however, it may or may not have produced some files or none: 
 
  Traceback (most recent call last):
   File ""***Removed due to privacy***/rugby_g78896na/./rugby_g78896na.py"", line 28, in <module>
     file_handle = open((args.input_file_path + ""./"" + input_file_arr[count]), ""r"")
 FileNotFoundError: [Errno 2] No such file or directory: './test_files_rugby./test_file1.txt'
 
 No files were created within the results folder. (This does not mean files were not created elsewhere)"
g86908rc,0,0,0,"No submission was found under the prog1_rugby tag for the rugby task
"
g91274qw,1,0,1,"Score output for test_file 2 was incorrect
"
g92198jz,0,0,0,"Submission ran but did not finish its execution due to the errors below. 
 This does not mean the program did not execute however, it may or may not have produced some files or none: 
 
  Traceback (most recent call last):
   File ""***Removed due to privacy***/rugby_g92198jz/./rugby_g92198jz.py"", line 5, in <module>
     scorefile = open(args.dir[0],""r"")
 IsADirectoryError: [Errno 21] Is a directory: './test_files_rugby'
 
 No files were created within the results folder. (This does not mean files were not created elsewhere)"
h00203pb,0,0,0,"No submission was found under the prog1_rugby tag for the rugby task
"
h01895cg,1,1,1,
h04151jk,0,0,0,"Submission ran but did not finish its execution due to the errors below. 
 This does not mean the program did not execute however, it may or may not have produced some files or none: 
 
  Traceback (most recent call last):
   File ""***Removed due to privacy***/rugby_h04151jk/./rugby_h04151jk.py"", line 35, in <module>
     fileOut = open(outFolder + fileOutName, ""w"")
 FileNotFoundError: [Errno 2] No such file or directory: './results_rugbyiles_rugby/test_file1_h04151jk.txt'
 
 No files were created within the results folder. (This does not mean files were not created elsewhere)"
h06023jc,1,1,1,
h06559hi,0,0,0,"No submission was found under the prog1_rugby tag for the rugby task
"
h08963ob,1,1,1,
h10505jd,1,1,1,
h13549so,0,0,0,"Score output for test_file 1 was incorrect
 Score output for test_file 2 was incorrect
 Score output for test_file 3 was incorrect
"
h15879ac,0,0,0,"Submission ran indefinitely and did not finish its execution. 
 This does not mean the program did not execute however, it may or may not have produced some files or noneOutput files were found however no output file was found for test_file 1 with the correct name format
 Output files were found however no output file was found for test_file 2 with the correct name format
 Output files were found however no output file was found for test_file 3 with the correct name format
"
h18603tp,0,0,0,"Output files were found however no output file was found for test_file 1 with the correct name format
 Output files were found however no output file was found for test_file 2 with the correct name format
 Output files were found however no output file was found for test_file 3 with the correct name format
"
h18609dp,0,0,0,"No submission was found under the prog1_rugby tag for the rugby task
"
h19243yp,0,0,0,"No submission was found under the prog1_rugby tag for the rugby task
"
h19953mb,0,0,0,"No submission was found under the prog1_rugby tag for the rugby task
"
h20233aa,0,0,0,"No submission was found under the prog1_rugby tag for the rugby task
"
h25471ds,1,1,1,
h26115aa,0,0,0,"No submission was found under the prog1_rugby tag for the rugby task
"
h32647nh,1,1,1,
h34091sm,0,0,0,"Output files were found however no output file was found for test_file 1 with the correct name format
 Output files were found however no output file was found for test_file 2 with the correct name format
 Output files were found however no output file was found for test_file 3 with the correct name format
"
h37701dk,1,1,1,
h39449sy,0,0,0,"No submission was found under the prog1_rugby tag for the rugby task
"
h45007bk,1,1,1,
h48741ew,0,0,0,"No submission was found under the prog1_rugby tag for the rugby task
"
h49151gd,1,0,1,"Score output for test_file 2 was incorrect
"
h50141yq,0,0,0,"Submission ran but did not finish its execution due to the errors below. 
 This does not mean the program did not execute however, it may or may not have produced some files or none: 
 
  Traceback (most recent call last):
   File ""***Removed due to privacy***/rugby_h50141yq/./rugby_h50141yq.py"", line 43, in <module>
     os.chdir(output_path)
 FileNotFoundError: [Errno 2] No such file or directory: './results_rugby'
 
 No files were created within the results folder. (This does not mean files were not created elsewhere)"
h52171rh,1,1,1,
h54023kc,1,1,1,
h56505hm,0,0,0,"No submission was found under the prog1_rugby tag for the rugby task
"
h59035dd,1,1,1,
h60953dl,1,1,1,
h61781jp,0,0,0,"Submission ran but did not finish its execution due to the errors below. 
 This does not mean the program did not execute however, it may or may not have produced some files or none: 
 
  Traceback (most recent call last):
   File ""***Removed due to privacy***/rugby_h61781jp/./rugby_h61781jp.py"", line 4, in <module>
     file = open((sys.argv[1] + filename),""r"")
 FileNotFoundError: [Errno 2] No such file or directory: './test_files_rugbytest_file1.txt'
 
 No files were created within the results folder. (This does not mean files were not created elsewhere)"
h63651bn,1,1,1,
h64203za,0,0,0,"No submission was found under the prog1_rugby tag for the rugby task
"
h64411rs,1,1,1,
h70565na,0,0,0,"No submission was found under the prog1_rugby tag for the rugby task
"
h72507by,0,0,0,"Submission was found under the prog1_rugby tag for the rugby task but the file is named incorrectly
 No files were created within the results folder. (This does not mean files were not created elsewhere)"
h76117sv,1,1,1,
h78811cv,1,1,1,
h85345ww,0,0,0,"Submission ran but did not finish its execution due to the errors below. 
 This does not mean the program did not execute however, it may or may not have produced some files or none: 
 
  Traceback (most recent call last):
   File ""***Removed due to privacy***/rugby_h85345ww/./rugby_h85345ww.py"", line 15, in <module>
     teams = open(inputpath + filenames[k], ""r"")
 FileNotFoundError: [Errno 2] No such file or directory: './test_files_rugbytest_file1.txt'
 
 No files were created within the results folder. (This does not mean files were not created elsewhere)"
h86959th,1,1,1,
h89565jc,1,1,1,
h96407tf,1,1,1,
j06597jr,0,0,0,"No submission was found under the prog1_rugby tag for the rugby task
"
j06724tc,1,1,1,
j08328hd,1,1,1,
j09180ga,1,1,1,
j11865sr,1,1,1,
j13280mh,0,0,0,"No submission was found under the prog1_rugby tag for the rugby task
"
j13667wl,0,0,0,"No submission was found under the prog1_rugby tag for the rugby task
"
j13909ht,0,0,0,"No submission was found under the prog1_rugby tag for the rugby task
"
j14088na,1,1,1,
j14769hd,1,1,1,
j16919mb,1,1,1,
j17768ms,0,0,0,"Submission ran but did not finish its execution due to the errors below. 
 This does not mean the program did not execute however, it may or may not have produced some files or none: 
 
  Traceback (most recent call last):
   File ""***Removed due to privacy***/rugby_j17768ms/./rugby_j17768ms.py"", line 49, in <module>
     if char[4] == (""1""):
 IndexError: list index out of range
 
 No files were created within the results folder. (This does not mean files were not created elsewhere)"
j20384jz,0,0,0,"No submission was found under the prog1_rugby tag for the rugby task
"
j23676kd,1,1,1,
j24834et,1,1,1,
j29115zl,0,0,0,"Submission was found under the prog1_rugby tag for the rugby task but the file is named incorrectly
 No files were created within the results folder. (This does not mean files were not created elsewhere)"
j29403qy,0,0,0,"Output files were found however no output file was found for test_file 1 with the correct name format
 Output files were found however no output file was found for test_file 2 with the correct name format
 Output files were found however no output file was found for test_file 3 with the correct name format
"
j29815fa,1,1,1,
j33990dk,0,0,0,"Submission ran but did not finish its execution due to the errors below. 
 This does not mean the program did not execute however, it may or may not have produced some files or none: 
 
  Traceback (most recent call last):
   File ""***Removed due to privacy***/rugby_j33990dk/./rugby_j33990dk.py"", line 5, in <module>
     file = open(sys.argv[1], ""r"")
 IsADirectoryError: [Errno 21] Is a directory: './test_files_rugby'
 
 No files were created within the results folder. (This does not mean files were not created elsewhere)"
j34330vk,1,1,1,
j36001zl,1,1,1,
j39317jj,0,0,0,"No submission was found under the prog1_rugby tag for the rugby task
"
j45220sl,0,0,0,"Submission ran but did not finish its execution due to the errors below. 
 This does not mean the program did not execute however, it may or may not have produced some files or none: 
 
  Traceback (most recent call last):
   File ""***Removed due to privacy***/rugby_j45220sl/./rugby_j45220sl.py"", line 27, in <module>
     with open(inputfile, 'r') as FILE:
 IsADirectoryError: [Errno 21] Is a directory: './test_files_rugby'
 
 No files were created within the results folder. (This does not mean files were not created elsewhere)"
j48751oa,0,0,0,"No submission was found under the prog1_rugby tag for the rugby task
"
j49970fa,1,1,1,
j52026pk,0,0,0,"No submission was found under the prog1_rugby tag for the rugby task
"
j54137ss,1,1,1,
j56995jg,1,1,1,
j59004hl,1,1,1,
j72446cx,1,1,1,
j73849yh,1,1,1,
j78134fm,1,1,1,
j79871am,0,0,0,"Submission ran indefinitely and did not finish its execution. 
 This does not mean the program did not execute however, it may or may not have produced some files or noneNo files were created within the results folder. (This does not mean files were not created elsewhere)"
j80560hh,0,0,0,"Output files were found however no output file was found for test_file 1 with the correct name format
 Output files were found however no output file was found for test_file 2 with the correct name format
 Output files were found however no output file was found for test_file 3 with the correct name format
"
j80841pg,1,1,1,
j81034dp,1,1,1,
j81448im,0,0,0,"No submission was found under the prog1_rugby tag for the rugby task
"
j86153jd,0,0,0,"No submission was found under the prog1_rugby tag for the rugby task
"
j90095jb,0,0,0,"Submission ran but did not finish its execution due to the errors below. 
 This does not mean the program did not execute however, it may or may not have produced some files or none: 
 
  Traceback (most recent call last):
   File ""***Removed due to privacy***/rugby_j90095jb/./rugby_j90095jb.py"", line 73, in <module>
     Main(args.Input, args.Output)
   File ""***Removed due to privacy***/rugby_j90095jb/./rugby_j90095jb.py"", line 61, in Main
     t1, t2 = 0
 TypeError: cannot unpack non-iterable int object
 
 No files were created within the results folder. (This does not mean files were not created elsewhere)"
j90992mm,0,0,0,"Submission ran but did not finish its execution due to the errors below. 
 This does not mean the program did not execute however, it may or may not have produced some files or none: 
 
  Traceback (most recent call last):
   File ""***Removed due to privacy***/rugby_j90992mm/./rugby_j90992mm.py"", line 46, in <module>
     read_text_file(file_path)
   File ""***Removed due to privacy***/rugby_j90992mm/./rugby_j90992mm.py"", line 14, in read_text_file
     with open(file_path, 'r') as f:
 FileNotFoundError: [Errno 2] No such file or directory: './test_files_rugby\\test_file1.txt'
 
 No files were created within the results folder. (This does not mean files were not created elsewhere)"
j91917bs,1,1,1,
j94115rh,0,0,0,"No submission was found under the prog1_rugby tag for the rugby task
"
j94732av,0,0,0,"No submission was found under the prog1_rugby tag for the rugby task
"
j95271zf,1,1,1,
j96158ap,0,0,0,"Score output for test_file 1 was incorrect
 Score output for test_file 2 was incorrect
 Score output for test_file 3 was incorrect
"
j96409sb,1,1,1,
j98107zw,0,0,0,"Submission ran indefinitely and did not finish its execution. 
 This does not mean the program did not execute however, it may or may not have produced some files or noneNo files were created within the results folder. (This does not mean files were not created elsewhere)"
j98415kf,0,0,0,"No submission was found under the prog1_rugby tag for the rugby task
"
k01756ws,1,1,1,
k14454hd,1,1,1,
k20826aj,0,0,0,"No submission was found under the prog1_rugby tag for the rugby task
"
k23074jh,0,0,0,"No submission was found under the prog1_rugby tag for the rugby task
"
k25612yz,0,0,0,"No submission was found under the prog1_rugby tag for the rugby task
"
k38730rs,0,0,0,"No submission was found under the prog1_rugby tag for the rugby task
"
k40092ae,1,1,1,
k42524cm,1,1,1,
k47680dm,1,1,1,
k63434dr,0,0,0,"Submission ran but did not finish its execution due to the errors below. 
 This does not mean the program did not execute however, it may or may not have produced some files or none: 
 
  Traceback (most recent call last):
   File ""***Removed due to privacy***/rugby_k63434dr/./rugby_k63434dr.py"", line 28, in <module>
     inp = open(f""{parsed_args.inputDirectory}\{file}"", 'r')
 FileNotFoundError: [Errno 2] No such file or directory: './test_files_rugby\\test_file1.txt'
 
 No files were created within the results folder. (This does not mean files were not created elsewhere)"
k71182kt,1,1,1,
k73092al,0,0,0,"Submission ran but did not finish its execution due to the errors below. 
 This does not mean the program did not execute however, it may or may not have produced some files or none: 
 
    File ""***Removed due to privacy***/rugby_k73092al/./rugby_k73092al.py"", line 15
     
     ^
 IndentationError: expected an indented block
 
 No files were created within the results folder. (This does not mean files were not created elsewhere)"
k74082yd,1,1,1,
k75018lg,0,0,0,"Submission ran but did not finish its execution due to the errors below. 
 This does not mean the program did not execute however, it may or may not have produced some files or none: 
 
  Traceback (most recent call last):
   File ""***Removed due to privacy***/rugby_k75018lg/./rugby_k75018lg.py"", line 13, in <module>
     file = open(files)
 FileNotFoundError: [Errno 2] No such file or directory: './test_files_rugbytest_file1.txt'
 
 No files were created within the results folder. (This does not mean files were not created elsewhere)"
k77872uk,1,1,1,
k78886jb,0,0,0,"No submission was found under the prog1_rugby tag for the rugby task
"
k88166nd,0,0,0,"No submission was found under the prog1_rugby tag for the rugby task
"
k92160ym,0,0,0,"No submission was found under the prog1_rugby tag for the rugby task
"
k96010wp,0,0,0,"Submission ran but did not finish its execution due to the errors below. 
 This does not mean the program did not execute however, it may or may not have produced some files or none: 
 
  Traceback (most recent call last):
   File ""***Removed due to privacy***/rugby_k96010wp/./rugby_k96010wp.py"", line 8, in <module>
     path, dirs, files = next(os.walk(args.inf))
 NameError: name 'os' is not defined
 
 No files were created within the results folder. (This does not mean files were not created elsewhere)"
k98956fm,0,0,0,"No submission was found under the prog1_rugby tag for the rugby task
"
