Student_number,file_1_mark,file_2_mark,file_3_mark,Feedback
b89545ss,0,0,0,"Submission ran but did not finish its execution due to the errors below. 
 This does not mean the program did not execute however, it may or may not have produced some files or none: 
 
    File ""***Removed due to privacy***/decrypt_b89545ss/./decrypt_b89545ss.py"", line 31
     for i in range(0, len(hexaString), 2):
 IndentationError: unexpected indent
 
 No files were created within the results folder. (This does not mean files were not created elsewhere)
"
b91517ea,1,1,1,
b95211hc,0,0,0,"Submission ran but did not finish its execution due to the errors below. 
 This does not mean the program did not execute however, it may or may not have produced some files or none: 
 
  Traceback (most recent call last):
   File ""***Removed due to privacy***/decrypt_b95211hc/./decrypt_b95211hc.py"", line 59, in <module>
     os.mkdir(outputDir)
 FileExistsError: [Errno 17] File exists: './results_encrypt'
 
 No files were created within the results folder. (This does not mean files were not created elsewhere)
"
b98919gs,0,0,0,"Submission ran but did not finish its execution due to the errors below. 
 This does not mean the program did not execute however, it may or may not have produced some files or none: 
 
    File ""***Removed due to privacy***/decrypt_b98919gs/./decrypt_b98919gs.py"", line 39
     '..--..': '?'. '-..-.': '/'
                    ^
 SyntaxError: invalid syntax
 
 No files were created within the results folder. (This does not mean files were not created elsewhere)
"
c00182zl,0,0,0,"No submission was found under the prog2_encryption tag for the encryption task
"
c01724bh,1,1,1,
c20818hb,0,0,0,"Submission ran but did not finish its execution due to the errors below. 
 This does not mean the program did not execute however, it may or may not have produced some files or none: 
 
  Traceback (most recent call last):
   File ""***Removed due to privacy***/decrypt_c20818hb/./decrypt_c20818hb.py"", line 14, in <module>
     with open(inputFilePath, 'r') as f:
 IsADirectoryError: [Errno 21] Is a directory: './test_files_encrypt'
 
 No files were created within the results folder. (This does not mean files were not created elsewhere)
"
c28644ab,1,1,1,
c29038sx,1,1,1,
c29824zl,1,0,0,"Output for test_file 2 was incorrect
 Output for test_file 3 was incorrect
"
c38534kt,0,0,0,"Submission ran but did not finish its execution due to the errors below. 
 This does not mean the program did not execute however, it may or may not have produced some files or none: 
 
  Traceback (most recent call last):
   File ""***Removed due to privacy***/decrypt_c38534kt/./decrypt_c38534kt.py"", line 5, in <module>
     with open (walk_dir, ""r"") as f:
 IsADirectoryError: [Errno 21] Is a directory: './test_files_encrypt'
 
 No files were created within the results folder. (This does not mean files were not created elsewhere)
"
c42786tc,0,0,0,"No submission was found under the prog2_encryption tag for the encryption task
"
c43480ct,1,1,0,"Output for test_file 3 was incorrect
"
c48306ah,1,1,0,"Output for test_file 3 was incorrect
"
c60952ti,1,1,1,
c62354yt,1,0,0,"Submission ran but did not finish its execution due to the errors below. 
 This does not mean the program did not execute however, it may or may not have produced some files or none: 
 
  Traceback (most recent call last):
   File ""***Removed due to privacy***/decrypt_c62354yt/./decrypt_c62354yt.py"", line 53, in <module>
     detext=str(detext)+caec[l+3]
 IndexError: string index out of range
 
 Output files were found however no output file was found for test_file 2 with the correct name format
 Output files were found however no output file was found for test_file 3 with the correct name format
"
c70846fu,0,0,0,"Submission ran but did not finish its execution due to the errors below. 
 This does not mean the program did not execute however, it may or may not have produced some files or none: 
 
  Traceback (most recent call last):
   File ""***Removed due to privacy***/decrypt_c70846fu/./decrypt_c70846fu.py"", line 31, in <module>
     SplitText = text_decrypt.split("":"")
 AttributeError: 'list' object has no attribute 'split'
 
 No files were created within the results folder. (This does not mean files were not created elsewhere)
"
c74752hz,1,0,0,"Submission ran but did not finish its execution due to the errors below. 
 This does not mean the program did not execute however, it may or may not have produced some files or none: 
 
  Traceback (most recent call last):
   File ""***Removed due to privacy***/decrypt_c74752hz/./decrypt_c74752hz.py"", line 75, in <module>
     decryptedtext = morse(ciphertext)
   File ""***Removed due to privacy***/decrypt_c74752hz/./decrypt_c74752hz.py"", line 39, in morse
     string += morseList.get(code).lower()
 AttributeError: 'NoneType' object has no attribute 'lower'
 
 Output for test_file 2 was incorrect
 Output files were found however no output file was found for test_file 3 with the correct name format
"
c81776oa,1,0,1,"Output for test_file 2 was incorrect
"
c87452cd,0,0,0,"Submission ran but did not finish its execution due to the errors below. 
 This does not mean the program did not execute however, it may or may not have produced some files or none: 
 
  Traceback (most recent call last):
   File ""***Removed due to privacy***/decrypt_c87452cd/./decrypt_c87452cd.py"", line 9, in <module>
     inputStream = open(inputPath, ""r"")
 IsADirectoryError: [Errno 21] Is a directory: './test_files_encrypt'
 
 No files were created within the results folder. (This does not mean files were not created elsewhere)
"
c93472yk,0,0,0,"Submission ran but did not finish its execution due to the errors below. 
 This does not mean the program did not execute however, it may or may not have produced some files or none: 
 
  Traceback (most recent call last):
   File ""***Removed due to privacy***/decrypt_c93472yk/./decrypt_c93472yk.py"", line 227, in <module>
     mainP(inP, output1)
   File ""***Removed due to privacy***/decrypt_c93472yk/./decrypt_c93472yk.py"", line 166, in mainP
     out(ans, output1)
   File ""***Removed due to privacy***/decrypt_c93472yk/./decrypt_c93472yk.py"", line 118, in out
     with open(output1,'w') as f:
 FileNotFoundError: [Errno 2] No such file or directory: './results_encryptrypt/test_file1_c93472yk.txt'
 
 No files were created within the results folder. (This does not mean files were not created elsewhere)
"
d00499dm,0,0,0,"Submission ran but did not finish its execution due to the errors below. 
 This does not mean the program did not execute however, it may or may not have produced some files or none: 
 
  Traceback (most recent call last):
   File ""***Removed due to privacy***/decrypt_d00499dm/./decrypt_d00499dm.py"", line 24, in <module>
     while ciphertextChar != alphabet[alphabetposition]:
 IndexError: string index out of range
 
 No files were created within the results folder. (This does not mean files were not created elsewhere)
"
d02513ms,0,0,0,"No submission was found under the prog2_encryption tag for the encryption task
"
d03211aa,0,1,1,"Output for test_file 1 was incorrect
"
d03963st,1,1,1,
d05847mk,0,0,0,"Submission ran but did not finish its execution due to the errors below. 
 This does not mean the program did not execute however, it may or may not have produced some files or none: 
 
  Traceback (most recent call last):
   File ""***Removed due to privacy***/decrypt_d05847mk/./decrypt_d05847mk.py"", line 119, in <module>
     output_hex()
   File ""***Removed due to privacy***/decrypt_d05847mk/./decrypt_d05847mk.py"", line 90, in output_hex
     os.chdir(outputpath)
 FileNotFoundError: [Errno 2] No such file or directory: './results_encrypt'
 
 No files were created within the results folder. (This does not mean files were not created elsewhere)
"
d07769jy,1,1,1,
d20477sn,0,0,0,"No submission was found under the prog2_encryption tag for the encryption task
"
d30839jl,0,0,0,"Output files were found however no output file was found for test_file 1 with the correct name format
 Output files were found however no output file was found for test_file 2 with the correct name format
 Output files were found however no output file was found for test_file 3 with the correct name format
"
d42941ph,0,0,0,"No submission was found under the prog2_encryption tag for the encryption task
"
d47007el,1,1,0,"Output for test_file 3 was incorrect
"
d50341jc,1,1,1,
d52553je,0,0,0,"Submission was found under the prog2_encryption tag for the encryption task but the file is named incorrectly
 No files were created within the results folder. (This does not mean files were not created elsewhere)
"
d62825cd,0,0,0,"Submission ran but did not finish its execution due to the errors below. 
 This does not mean the program did not execute however, it may or may not have produced some files or none: 
 
  Traceback (most recent call last):
   File ""***Removed due to privacy***/decrypt_d62825cd/./decrypt_d62825cd.py"", line 3, in <module>
     test = open(sys.argv[1] , ""r"")
 IsADirectoryError: [Errno 21] Is a directory: './test_files_encrypt'
 
 No files were created within the results folder. (This does not mean files were not created elsewhere)
"
d66835dg,1,0,1,"Output for test_file 2 was incorrect
"
d71343si,1,0,1,"Output for test_file 2 was incorrect
"
d72499pd,1,1,0,"Output for test_file 3 was incorrect
"
d88719ry,0,0,0,"No submission was found under the prog2_encryption tag for the encryption task
"
d95341zw,1,1,1,
e00336tj,0,0,0,"No files were created within the results folder. (This does not mean files were not created elsewhere)
"
e11226oc,0,0,0,"Submission was found under the prog2_encryption tag for the encryption task but the file is named incorrectly
 No files were created within the results folder. (This does not mean files were not created elsewhere)
"
e17646fa,1,1,1,
e18770as,1,1,1,
e22628ak,1,1,0,"Output for test_file 3 was incorrect
"
e23170zl,0,0,0,"No submission was found under the prog2_encryption tag for the encryption task
"
e31258zw,1,1,1,
e35918rs,1,1,1,
e37076ka,1,1,1,
e40494op,1,1,1,
e40896us,0,0,0,"No files were created within the results folder. (This does not mean files were not created elsewhere)
"
e41002vg,0,0,0,"Submission ran but did not finish its execution due to the errors below. 
 This does not mean the program did not execute however, it may or may not have produced some files or none: 
 
  Traceback (most recent call last):
   File ""***Removed due to privacy***/decrypt_e41002vg/./decrypt_e41002vg.py"", line 15, in <module>
     f = open(to_open, ""r"")
 FileNotFoundError: [Errno 2] No such file or directory: './test_files_encrypt\\test_file1.txt'
 
 No files were created within the results folder. (This does not mean files were not created elsewhere)
"
e41206gs,1,1,1,
e54842zt,1,1,1,
e55646sa,0,0,0,"Submission ran but did not finish its execution due to the errors below. 
 This does not mean the program did not execute however, it may or may not have produced some files or none: 
 
    File ""***Removed due to privacy***/decrypt_e55646sa/./decrypt_e55646sa.py"", line 108
     '/': ' '
        ^
 SyntaxError: invalid syntax
 
 No files were created within the results folder. (This does not mean files were not created elsewhere)
"
e58068tt,0,0,0,"Submission was found under the prog2_encryption tag for the encryption task but the file is named incorrectly
 No files were created within the results folder. (This does not mean files were not created elsewhere)
"
e58690mu,1,1,1,
e58876ch,1,0,1,"Output for test_file 2 was incorrect
"
e64848xf,0,0,0,"No submission was found under the prog2_encryption tag for the encryption task
"
e71568qh,0,0,0,"No submission was found under the prog2_encryption tag for the encryption task
"
e78508hb,1,1,1,
e80626nm,0,0,0,"Output files were found however no output file was found for test_file 1 with the correct name format
 Output files were found however no output file was found for test_file 2 with the correct name format
 Output files were found however no output file was found for test_file 3 with the correct name format
"
e86238yj,0,0,0,"Submission ran but did not finish its execution due to the errors below. 
 This does not mean the program did not execute however, it may or may not have produced some files or none: 
 
  Traceback (most recent call last):
   File ""***Removed due to privacy***/decrypt_e86238yj/./decrypt_e86238yj.py"", line 9, in <module>
     os.mkdir(args.output_path)
 FileExistsError: [Errno 17] File exists: './results_encrypt'
 
 No files were created within the results folder. (This does not mean files were not created elsewhere)
"
e86816fd,0,0,0,"No submission was found under the prog2_encryption tag for the encryption task
"
e88144wm,1,1,1,
e99236vr,0,0,0,"No submission was found under the prog2_encryption tag for the encryption task
"
f01643ka,1,0,1,"Output for test_file 2 was incorrect
"
f05815rb,1,1,0,"Output for test_file 3 was incorrect
"
f06903rd,1,1,0,"Output for test_file 3 was incorrect
"
f11711jy,0,0,0,"Submission ran but did not finish its execution due to the errors below. 
 This does not mean the program did not execute however, it may or may not have produced some files or none: 
 
  Traceback (most recent call last):
   File ""***Removed due to privacy***/decrypt_f11711jy/./decrypt_f11711jy.py"", line 7, in <module>
     with open(""test_file3.txt"") as file:
 FileNotFoundError: [Errno 2] No such file or directory: 'test_file3.txt'
 
 No files were created within the results folder. (This does not mean files were not created elsewhere)
"
f13855hl,1,1,1,
f15107sn,0,0,0,"Submission ran but did not finish its execution due to the errors below. 
 This does not mean the program did not execute however, it may or may not have produced some files or none: 
 
  Traceback (most recent call last):
   File ""***Removed due to privacy***/decrypt_f15107sn/./decrypt_f15107sn.py"", line 83, in <module>
     enc_txt= read_file(args.in_file)
   File ""***Removed due to privacy***/decrypt_f15107sn/./decrypt_f15107sn.py"", line 4, in read_file
     in_f= open(in_file,'r')
 IsADirectoryError: [Errno 21] Is a directory: './test_files_encrypt'
 
 No files were created within the results folder. (This does not mean files were not created elsewhere)
"
f18903ls,1,1,1,
f21939kg,1,1,1,
f25035sb,0,0,0,"Submission was found under the prog2_encryption tag for the encryption task but the file is named incorrectly
 No files were created within the results folder. (This does not mean files were not created elsewhere)
"
f33805pg,0,0,0,"No submission was found under the prog2_encryption tag for the encryption task
"
f37609ak,1,1,1,
f38903hq,0,0,0,"Submission was found under the prog2_encryption tag for the encryption task but the file is named incorrectly
 No files were created within the results folder. (This does not mean files were not created elsewhere)
"
f49277np,0,0,0,"Submission ran but did not finish its execution due to the errors below. 
 This does not mean the program did not execute however, it may or may not have produced some files or none: 
 
  Traceback (most recent call last):
   File ""***Removed due to privacy***/decrypt_f49277np/./decrypt_f49277np.py"", line 54, in <module>
     file = open(str(path)+x, ""r"")
 FileNotFoundError: [Errno 2] No such file or directory: './test_files_encrypttest_file1.txt'
 
 No files were created within the results folder. (This does not mean files were not created elsewhere)
"
f53919qy,0,0,0,"Submission ran but did not finish its execution due to the errors below. 
 This does not mean the program did not execute however, it may or may not have produced some files or none: 
 
  Traceback (most recent call last):
   File ""***Removed due to privacy***/decrypt_f53919qy/./decrypt_f53919qy.py"", line 87, in <module>
     with open(input_file_path, 'r') as f:
 IsADirectoryError: [Errno 21] Is a directory: './test_files_encrypt'
 
 No files were created within the results folder. (This does not mean files were not created elsewhere)
"
f54617sa,1,1,1,
f57695ks,1,1,1,
f60163yw,0,0,0,"Output for test_file 1 was incorrect
 Output for test_file 2 was incorrect
 Output for test_file 3 was incorrect
"
f63279ma,1,1,1,
f66089ms,0,0,0,"Output for test_file 1 was incorrect
 Output for test_file 2 was incorrect
 Output for test_file 3 was incorrect
"
f77541nz,1,0,1,"Output for test_file 2 was incorrect
"
f85709jw,1,1,1,
f92301jb,1,1,1,
f93937xl,1,1,0,"Submission ran but did not finish its execution due to the errors below. 
 This does not mean the program did not execute however, it may or may not have produced some files or none: 
 
  Traceback (most recent call last):
   File ""***Removed due to privacy***/decrypt_f93937xl/./decrypt_f93937xl.py"", line 73, in <module>
     answer3 += MorseList[item].lower()
 KeyError: '.--.'
 
 Output files were found however no output file was found for test_file 3 with the correct name format
"
f98689dr,1,1,1,
g15612dj,0,0,0,"Output files were found however no output file was found for test_file 1 with the correct name format
 Output files were found however no output file was found for test_file 2 with the correct name format
 Output files were found however no output file was found for test_file 3 with the correct name format
"
g21434rb,1,1,0,"Submission ran but did not finish its execution due to the errors below. 
 This does not mean the program did not execute however, it may or may not have produced some files or none: 
 
  Traceback (most recent call last):
   File ""***Removed due to privacy***/decrypt_g21434rb/./decrypt_g21434rb.py"", line 77, in <module>
     plainText = MorseDecrypt(cipherText)
   File ""***Removed due to privacy***/decrypt_g21434rb/./decrypt_g21434rb.py"", line 41, in MorseDecrypt
     plain += MorseList.get(w).lower()
 AttributeError: 'NoneType' object has no attribute 'lower'
 
 Output files were found however no output file was found for test_file 3 with the correct name format
"
g21898tg,0,0,0,"Output files were found however no output file was found for test_file 1 with the correct name format
 Output files were found however no output file was found for test_file 2 with the correct name format
 Output files were found however no output file was found for test_file 3 with the correct name format
"
g28708at,0,0,0,"Submission ran but did not finish its execution due to the errors below. 
 This does not mean the program did not execute however, it may or may not have produced some files or none: 
 
  Traceback (most recent call last):
   File ""***Removed due to privacy***/decrypt_g28708at/./decrypt_g28708at.py"", line 21, in <module>
     with open(file_path, 'r') as f:
 FileNotFoundError: [Errno 2] No such file or directory: './test_files_encrypt/test_file1.txt'
 
 No files were created within the results folder. (This does not mean files were not created elsewhere)
"
g33966si,1,1,0,"Output for test_file 3 was incorrect
"
g39786dp,1,0,1,"Output for test_file 2 was incorrect
"
g45512id,1,1,0,"Submission ran but did not finish its execution due to the errors below. 
 This does not mean the program did not execute however, it may or may not have produced some files or none: 
 
  Traceback (most recent call last):
   File ""***Removed due to privacy***/decrypt_g45512id/./decrypt_g45512id.py"", line 95, in <module>
     text = morse_decrypt(text)
   File ""***Removed due to privacy***/decrypt_g45512id/./decrypt_g45512id.py"", line 68, in morse_decrypt
     decipher += list(morse_dict.keys())[list(morse_dict.values()).index(citext)]
 NameError: name 'citext' is not defined
 
 Output files were found however no output file was found for test_file 3 with the correct name format
"
g58440zy,1,1,1,
g60486zz,1,1,1,
g62512ww,1,1,1,
g62520js,1,1,1,
g70580jh,0,0,0,"No submission was found under the prog2_encryption tag for the encryption task
"
g71830mc,0,0,0,"Output files were found however no output file was found for test_file 1 with the correct name format
 Output files were found however no output file was found for test_file 2 with the correct name format
 Output files were found however no output file was found for test_file 3 with the correct name format
"
g75342ms,0,0,0,"Submission was found under the prog2_encryption tag for the encryption task but the file is named incorrectly
 No files were created within the results folder. (This does not mean files were not created elsewhere)
"
g75462fw,1,1,0,"Output for test_file 3 was incorrect
"
g77134dr,0,0,0,"No submission was found under the prog2_encryption tag for the encryption task
"
g78196wl,0,0,0,"Submission ran but did not finish its execution due to the errors below. 
 This does not mean the program did not execute however, it may or may not have produced some files or none: 
 
  Traceback (most recent call last):
   File ""***Removed due to privacy***/decrypt_g78196wl/./decrypt_g78196wl.py"", line 111, in <module>
     f=open(o,'w')
 FileNotFoundError: [Errno 2] No such file or directory: '_g78196wl./results_encrypt/test_file1_g78196wl.txt'
 
 No files were created within the results folder. (This does not mean files were not created elsewhere)
"
g78896na,1,1,0,"Output for test_file 3 was incorrect
"
g86908rc,0,0,0,"No submission was found under the prog2_encryption tag for the encryption task
"
g91274qw,1,1,1,
g92198jz,1,1,1,
h00203pb,1,1,1,
h01895cg,1,1,1,
h04151jk,0,0,0,"Submission ran but did not finish its execution due to the errors below. 
 This does not mean the program did not execute however, it may or may not have produced some files or none: 
 
  Traceback (most recent call last):
   File ""***Removed due to privacy***/decrypt_h04151jk/./decrypt_h04151jk.py"", line 99, in <module>
     fileOut = open(outFolder + fileOutName, ""w"")
 FileNotFoundError: [Errno 2] No such file or directory: './results_encryptiles_encrypt/test_file1_h04151jk.txt'
 
 No files were created within the results folder. (This does not mean files were not created elsewhere)
"
h06023jc,0,0,0,"Submission was found under the prog2_encryption tag for the encryption task but the file is named incorrectly
 No files were created within the results folder. (This does not mean files were not created elsewhere)
"
h06559hi,0,0,0,"No submission was found under the prog2_encryption tag for the encryption task
"
h08963ob,1,1,1,
h10505jd,1,1,1,
h13549so,1,1,1,
h15879ac,0,0,0,"Submission ran but did not finish its execution due to the errors below. 
 This does not mean the program did not execute however, it may or may not have produced some files or none: 
 
  Traceback (most recent call last):
   File ""***Removed due to privacy***/decrypt_h15879ac/./decrypt_h15879ac.py"", line 94, in <module>
     answer = printAnswer(text)
 NameError: name 'printAnswer' is not defined
 
 No files were created within the results folder. (This does not mean files were not created elsewhere)
"
h18603tp,1,1,1,
h18609dp,0,0,0,"Submission ran but did not finish its execution due to the errors below. 
 This does not mean the program did not execute however, it may or may not have produced some files or none: 
 
  Traceback (most recent call last):
   File ""***Removed due to privacy***/decrypt_h18609dp/./decrypt_h18609dp.py"", line 11, in <module>
     with open(src, ""r"", encoding=""utf-8"") as f:
 IsADirectoryError: [Errno 21] Is a directory: './test_files_encrypt'
 
 No files were created within the results folder. (This does not mean files were not created elsewhere)
"
h19243yp,0,0,0,"No submission was found under the prog2_encryption tag for the encryption task
"
h19953mb,0,0,0,"No submission was found under the prog2_encryption tag for the encryption task
"
h20233aa,0,0,0,"No submission was found under the prog2_encryption tag for the encryption task
"
h25471ds,1,1,1,
h26115aa,0,0,0,"No submission was found under the prog2_encryption tag for the encryption task
"
h32647nh,1,1,1,
h34091sm,0,0,0,"Output files were found however no output file was found for test_file 1 with the correct name format
 Output files were found however no output file was found for test_file 2 with the correct name format
 Output files were found however no output file was found for test_file 3 with the correct name format
"
h37701dk,1,1,1,
h39449sy,0,0,0,"No submission was found under the prog2_encryption tag for the encryption task
"
h45007bk,1,1,1,
h48741ew,1,1,1,
h49151gd,0,0,0,"Submission was found under the prog2_encryption tag for the encryption task but the file is named incorrectly
 No files were created within the results folder. (This does not mean files were not created elsewhere)
"
h50141yq,0,0,0,"Submission ran but did not finish its execution due to the errors below. 
 This does not mean the program did not execute however, it may or may not have produced some files or none: 
 
  Traceback (most recent call last):
   File ""***Removed due to privacy***/decrypt_h50141yq/./decrypt_h50141yq.py"", line 66, in <module>
     os.chdir(output_path)
 FileNotFoundError: [Errno 2] No such file or directory: './results_encrypt'
 
 No files were created within the results folder. (This does not mean files were not created elsewhere)
"
h52171rh,1,1,1,
h54023kc,1,1,1,
h56505hm,0,0,0,"No submission was found under the prog2_encryption tag for the encryption task
"
h59035dd,1,1,1,
h60953dl,1,1,0,"Output for test_file 3 was incorrect
"
h61781jp,0,0,0,"Submission ran but did not finish its execution due to the errors below. 
 This does not mean the program did not execute however, it may or may not have produced some files or none: 
 
  Traceback (most recent call last):
   File ""***Removed due to privacy***/decrypt_h61781jp/./decrypt_h61781jp.py"", line 9, in <module>
     file = open((sys.argv[1] + filename),""r"")
 FileNotFoundError: [Errno 2] No such file or directory: './test_files_encrypttest_file1.txt'
 
 No files were created within the results folder. (This does not mean files were not created elsewhere)
"
h63651bn,1,1,1,
h64203za,1,1,1,
h64411rs,1,1,0,"Output for test_file 3 was incorrect
"
h70565na,0,0,0,"No submission was found under the prog2_encryption tag for the encryption task
"
h72507by,0,0,0,"Submission was found under the prog2_encryption tag for the encryption task but the file is named incorrectly
 No files were created within the results folder. (This does not mean files were not created elsewhere)
"
h76117sv,1,1,1,
h78811cv,1,0,1,"Output for test_file 2 was incorrect
"
h85345ww,0,0,0,"Submission ran but did not finish its execution due to the errors below. 
 This does not mean the program did not execute however, it may or may not have produced some files or none: 
 
  Traceback (most recent call last):
   File ""***Removed due to privacy***/decrypt_h85345ww/./decrypt_h85345ww.py"", line 28, in <module>
     ciphertextfile = open(inputpath + filenames[k], ""r"")
 FileNotFoundError: [Errno 2] No such file or directory: './test_files_encrypttest_file1.txt'
 
 No files were created within the results folder. (This does not mean files were not created elsewhere)
"
h86959th,1,1,1,
h89565jc,1,1,1,
h96407tf,1,1,1,
j06597jr,0,0,0,"Submission was found under the prog2_encryption tag for the encryption task but the file is named incorrectly
 No files were created within the results folder. (This does not mean files were not created elsewhere)
"
j06724tc,1,1,1,
j08328hd,1,1,1,
j09180ga,1,1,1,
j11865sr,1,1,1,
j13280mh,0,0,0,"No submission was found under the prog2_encryption tag for the encryption task
"
j13667wl,0,0,0,"No submission was found under the prog2_encryption tag for the encryption task
"
j13909ht,0,0,0,"No submission was found under the prog2_encryption tag for the encryption task
"
j14088na,1,1,1,
j14769hd,1,1,1,
j16919mb,1,1,1,
j17768ms,1,1,0,"Output for test_file 3 was incorrect
"
j20384jz,0,0,0,"No submission was found under the prog2_encryption tag for the encryption task
"
j23676kd,1,1,1,
j24834et,1,1,0,"Output for test_file 3 was incorrect
"
j29115zl,0,0,0,"Submission was found under the prog2_encryption tag for the encryption task but the file is named incorrectly
 No files were created within the results folder. (This does not mean files were not created elsewhere)
"
j29403qy,0,0,0,"Submission was found under the prog2_encryption tag for the encryption task but the file is named incorrectly
 No files were created within the results folder. (This does not mean files were not created elsewhere)
"
j29815fa,1,1,1,
j33990dk,0,0,0,"Submission ran but did not finish its execution due to the errors below. 
 This does not mean the program did not execute however, it may or may not have produced some files or none: 
 
  Traceback (most recent call last):
   File ""***Removed due to privacy***/decrypt_j33990dk/./decrypt_j33990dk.py"", line 79, in <module>
     file = open(sys.argv[1], ""r"")
 IsADirectoryError: [Errno 21] Is a directory: './test_files_encrypt'
 
 No files were created within the results folder. (This does not mean files were not created elsewhere)
"
j34330vk,1,0,1,"Output for test_file 2 was incorrect
"
j36001zl,1,1,1,
j39317jj,0,0,0,"No submission was found under the prog2_encryption tag for the encryption task
"
j45220sl,0,0,0,"Submission ran but did not finish its execution due to the errors below. 
 This does not mean the program did not execute however, it may or may not have produced some files or none: 
 
  Traceback (most recent call last):
   File ""***Removed due to privacy***/decrypt_j45220sl/./decrypt_j45220sl.py"", line 10, in <module>
     with open(inputfile, 'r') as FILE:
 IsADirectoryError: [Errno 21] Is a directory: './test_files_encrypt'
 
 No files were created within the results folder. (This does not mean files were not created elsewhere)
"
j48751oa,0,0,0,"No submission was found under the prog2_encryption tag for the encryption task
"
j49970fa,1,1,1,
j52026pk,0,0,0,"No files were created within the results folder. (This does not mean files were not created elsewhere)
"
j54137ss,1,1,1,
j56995jg,1,1,1,
j59004hl,1,1,1,
j72446cx,1,1,1,
j73849yh,1,1,1,
j78134fm,1,1,1,
j79871am,0,0,0,"Submission was found under the prog2_encryption tag for the encryption task but the file is named incorrectly
 No files were created within the results folder. (This does not mean files were not created elsewhere)
"
j80560hh,0,0,0,"Output files were found however no output file was found for test_file 1 with the correct name format
 Output files were found however no output file was found for test_file 2 with the correct name format
 Output files were found however no output file was found for test_file 3 with the correct name format
"
j80841pg,1,0,1,"Output for test_file 2 was incorrect
"
j81034dp,1,1,1,
j81448im,0,0,0,"No submission was found under the prog2_encryption tag for the encryption task
"
